DEPADM;DEPBOL;NOMEDEPBOL;CODRMET;REGIAOMETROPOLITANA;SERIE_ANO;COD_PER;PERIODO;CO_COMP;DS_COMP;MEDPROF
2;2;Rede Municipal;1;Região Metropolitana de São Paulo;5º Ano EF;2;TARDE;1;LÍNGUA PORTUGUESA;195,3
2;2;Rede Municipal;1;Região Metropolitana de São Paulo;5º Ano EF;2;TARDE;2;MATEMÁTICA;206,5
2;2;Rede Municipal;1;Região Metropolitana de São Paulo;5º Ano EF;9;GERAL;1;LÍNGUA PORTUGUESA;194,8
2;2;Rede Municipal;1;Região Metropolitana de São Paulo;5º Ano EF;9;GERAL;2;MATEMÁTICA;206
2;2;Rede Municipal;1;Região Metropolitana de São Paulo;9º Ano EF;1;MANHÃ;1;LÍNGUA PORTUGUESA;242,6
2;2;Rede Municipal;1;Região Metropolitana de São Paulo;9º Ano EF;1;MANHÃ;2;MATEMÁTICA;249,3
2;2;Rede Municipal;1;Região Metropolitana de São Paulo;9º Ano EF;2;TARDE;1;LÍNGUA PORTUGUESA;238,5
2;2;Rede Municipal;1;Região Metropolitana de São Paulo;9º Ano EF;2;TARDE;2;MATEMÁTICA;242,7
2;2;Rede Municipal;1;Região Metropolitana de São Paulo;9º Ano EF;9;GERAL;1;LÍNGUA PORTUGUESA;241,7
2;2;Rede Municipal;1;Região Metropolitana de São Paulo;9º Ano EF;9;GERAL;2;MATEMÁTICA;247,9
2;2;Rede Municipal;2;Região Metropolitana da Baixada Santista;2º Ano EF;1;MANHÃ;1;LÍNGUA PORTUGUESA;169
2;2;Rede Municipal;2;Região Metropolitana da Baixada Santista;2º Ano EF;1;MANHÃ;2;MATEMÁTICA;162,7
2;2;Rede Municipal;2;Região Metropolitana da Baixada Santista;2º Ano EF;2;TARDE;1;LÍNGUA PORTUGUESA;169
2;2;Rede Municipal;2;Região Metropolitana da Baixada Santista;2º Ano EF;2;TARDE;2;MATEMÁTICA;161,1
2;2;Rede Municipal;2;Região Metropolitana da Baixada Santista;2º Ano EF;9;GERAL;1;LÍNGUA PORTUGUESA;169
2;2;Rede Municipal;2;Região Metropolitana da Baixada Santista;2º Ano EF;9;GERAL;2;MATEMÁTICA;161,7
2;2;Rede Municipal;2;Região Metropolitana da Baixada Santista;5º Ano EF;1;MANHÃ;1;LÍNGUA PORTUGUESA;194,6
2;2;Rede Municipal;2;Região Metropolitana da Baixada Santista;5º Ano EF;1;MANHÃ;2;MATEMÁTICA;205,1
2;2;Rede Municipal;2;Região Metropolitana da Baixada Santista;5º Ano EF;2;TARDE;1;LÍNGUA PORTUGUESA;193,5
2;2;Rede Municipal;2;Região Metropolitana da Baixada Santista;5º Ano EF;2;TARDE;2;MATEMÁTICA;204,9
2;2;Rede Municipal;2;Região Metropolitana da Baixada Santista;5º Ano EF;9;GERAL;1;LÍNGUA PORTUGUESA;194,4
2;2;Rede Municipal;2;Região Metropolitana da Baixada Santista;5º Ano EF;9;GERAL;2;MATEMÁTICA;205
2;2;Rede Municipal;3;Região Metropolitana de Campinas;2º Ano EF;1;MANHÃ;1;LÍNGUA PORTUGUESA;174,2
2;2;Rede Municipal;3;Região Metropolitana de Campinas;2º Ano EF;1;MANHÃ;2;MATEMÁTICA;167,7
2;2;Rede Municipal;3;Região Metropolitana de Campinas;2º Ano EF;2;TARDE;1;LÍNGUA PORTUGUESA;175,7
2;2;Rede Municipal;3;Região Metropolitana de Campinas;2º Ano EF;2;TARDE;2;MATEMÁTICA;169,2
2;2;Rede Municipal;3;Região Metropolitana de Campinas;2º Ano EF;9;GERAL;1;LÍNGUA PORTUGUESA;175
2;2;Rede Municipal;3;Região Metropolitana de Campinas;2º Ano EF;9;GERAL;2;MATEMÁTICA;168,5
2;2;Rede Municipal;3;Região Metropolitana de Campinas;5º Ano EF;1;MANHÃ;1;LÍNGUA PORTUGUESA;206,3
2;2;Rede Municipal;3;Região Metropolitana de Campinas;5º Ano EF;1;MANHÃ;2;MATEMÁTICA;220,7
2;2;Rede Municipal;3;Região Metropolitana de Campinas;5º Ano EF;2;TARDE;1;LÍNGUA PORTUGUESA;209,8
2;2;Rede Municipal;3;Região Metropolitana de Campinas;5º Ano EF;2;TARDE;2;MATEMÁTICA;223
2;2;Rede Municipal;3;Região Metropolitana de Campinas;5º Ano EF;9;GERAL;1;LÍNGUA PORTUGUESA;207,6
2;2;Rede Municipal;3;Região Metropolitana de Campinas;5º Ano EF;9;GERAL;2;MATEMÁTICA;221,6
2;2;Rede Municipal;3;Região Metropolitana de Campinas;9º Ano EF;1;MANHÃ;1;LÍNGUA PORTUGUESA;0
2;2;Rede Municipal;3;Região Metropolitana de Campinas;9º Ano EF;1;MANHÃ;2;MATEMÁTICA;0
2;2;Rede Municipal;3;Região Metropolitana de Campinas;9º Ano EF;2;TARDE;1;LÍNGUA PORTUGUESA;0
2;2;Rede Municipal;3;Região Metropolitana de Campinas;9º Ano EF;2;TARDE;2;MATEMÁTICA;0
2;2;Rede Municipal;3;Região Metropolitana de Campinas;9º Ano EF;9;GERAL;1;LÍNGUA PORTUGUESA;0
2;2;Rede Municipal;3;Região Metropolitana de Campinas;9º Ano EF;9;GERAL;2;MATEMÁTICA;0
2;2;Rede Municipal;4;Região Metropolitana do Vale do Paraíba e Litoral Norte;2º Ano EF;1;MANHÃ;1;LÍNGUA PORTUGUESA;168
2;2;Rede Municipal;4;Região Metropolitana do Vale do Paraíba e Litoral Norte;2º Ano EF;1;MANHÃ;2;MATEMÁTICA;161,4
2;2;Rede Municipal;4;Região Metropolitana do Vale do Paraíba e Litoral Norte;2º Ano EF;2;TARDE;1;LÍNGUA PORTUGUESA;170,6
