Sigla da UF;Código do Município;Nome do Município;Código da Escola;Nome da Escola;Rede;Matemática;Língua Portuguesa;Nota Média Padronizada (N)
PR;4118501;Pato Branco;41093267;SAO ROQUE C E DO C EF M;Estadual;279.71;295.23;5.037636
PR;4118501;Pato Branco;41093283;CARLOS GOMES C E EF M N PROFIS;Estadual;263.38;259.28;4.270109
PR;4118501;Pato Branco;41093305;CARMELA BORTOT C E C M EF M;Estadual;288.3;315.5;5.461725
PR;4118501;Pato Branco;41093313;CASTRO ALVES C E C M EF M;Estadual;292.14;294.35;5.199041
PR;4118501;Pato Branco;41093321;UTFPR - CAMPUS PATO BRANCO;Federal;;;
PR;4118501;Pato Branco;41093348;CRISTO REI C E EF M;Estadual;262.19;265.67;4.349054
PR;4118501;Pato Branco;41093437;LA SALLE C E EF M;Estadual;;;
PR;4118501;Pato Branco;41093518;PATO BRANCO C E DE EF M PROFIS N;Estadual;307.54;313.38;5.700214
PR;4118501;Pato Branco;41093607;RUI BARBOSA C E C M EF M;Estadual;;;
PR;4118501;Pato Branco;41093666;SAO JOAO BOSCO C E EF M PROFIS;Estadual;283.59;296.34;5.108747
PR;4118501;Pato Branco;41093690;SAO VICENTE DE PAULO C E EF M;Estadual;277.41;268.15;4.599944
PR;4118501;Pato Branco;41163184;POL MILITAR C DA EF M;Estadual;341.91;325.62;6.366172
PR;4118501;Pato Branco;41392272;COLEGIO SESI PATO BRANCO ENSINO MEDIO;Privada;;;
PR;4118600;Paula Freitas;41117166;JOAO DE LARA C E DO C EI EF M;Estadual;291.81;288.79;5.111173
PR;4118600;Paula Freitas;41117182;MARINA MARES DE SOUZA C E EF M;Estadual;279.63;275.02;4.733968
PR;4118709;Paulo Frontin;41117450;PEDRO BUSKO C E MONS EF M PROFIS;Estadual;275.07;279.81;4.741629
PR;4118709;Paulo Frontin;41377656;FRANCISCO GAWLOUSKI C E C PROF EF M;Estadual;286.55;289.22;5.043734
PR;4118808;Peabiru;41017935;OLAVO BILAC C E C M EF M PROFIS;Estadual;292.44;281.92;5.017177
PR;4118808;Peabiru;41017943;14 DE DEZEMBRO C E EF M PROFIS;Estadual;293.1;295.25;5.225997
PR;4118857;Perobal;41007549;ANA NERI C E EF M;Estadual;263.86;263.57;4.341072
PR;4118907;Pérola;41007131;NESTOR VICTOR C E EF M N PROFIS;Estadual;270.19;272.62;4.565455
PR;4119004;Pérola d'Oeste;41080777;CASTELO BRANCO C E C EF M;Estadual;282.14;288.34;4.968622
PR;4119004;Pérola d'Oeste;41080971;REUS C E PE EF M;Estadual;281.18;305.11;5.206187
PR;4119103;Piên;41141725;ALFREDO GREIPEL JUNIOR C E C EF M;Estadual;279.85;285.38;4.892147
PR;4119103;Piên;41141806;FREDERICO GUILHERME GIESE C E EF M P;Estadual;276.19;274.79;4.68221
PR;4119152;Pinhais;41135580;AMYNTAS DE BARROS C E EF M PROFIS;Estadual;284.15;296.79;5.123349
PR;4119152;Pinhais;41135610;ARNALDO F BUSATO C E DEP EF M N PROFIS;Estadual;278.62;287.42;4.905411
PR;4119152;Pinhais;41135709;HUMBERTO A CASTELO BRANCO C E EF M PROFI;Estadual;266.72;277.88;4.595462
PR;4119152;Pinhais;41135717;PAULO FREIRE C E PROF EF M;Estadual;271.72;279.49;4.689788
PR;4119152;Pinhais;41135784;LEOCADIA B RAMOS C E EF M PROFIS N;Estadual;271.69;288.25;4.820505
